eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,,,,,,,,,0.0851,3.3333333333333335e-05,2.0,118.0,,,,,
,,,,,,,,,,0.1887,3.27683615819209e-05,2.02,119.0,,,,,
,,,,,,,,,,0.0395,3.2203389830508473e-05,2.03,120.0,,,,,
,,,,,,,,,,0.187,3.1638418079096046e-05,2.05,121.0,,,,,
,,,,,,,,,,0.1432,3.107344632768362e-05,2.07,122.0,,,,,
,,,,,,,,,,0.0335,3.050847457627119e-05,2.08,123.0,,,,,
,,,,,,,,,,0.037,2.994350282485876e-05,2.1,124.0,,,,,
,,,,,,,,,,0.0374,2.937853107344633e-05,2.12,125.0,,,,,
,,,,,,,,,,0.0803,2.88135593220339e-05,2.14,126.0,,,,,
,,,,,,,,,,0.0492,2.8248587570621472e-05,2.15,127.0,,,,,
,,,,,,,,,,0.0222,2.768361581920904e-05,2.17,128.0,,,,,
,,,,,,,,,,0.0279,2.711864406779661e-05,2.19,129.0,,,,,
,,,,,,,,,,0.0761,2.6553672316384183e-05,2.2,130.0,,,,,
,,,,,,,,,,0.2143,2.5988700564971752e-05,2.22,131.0,,,,,
,,,,,,,,,,0.1435,2.5423728813559322e-05,2.24,132.0,,,,,
,,,,,,,,,,0.1001,2.4858757062146894e-05,2.25,133.0,,,,,
,,,,,,,,,,0.0441,2.4293785310734467e-05,2.27,134.0,,,,,
,,,,,,,,,,0.0388,2.3728813559322036e-05,2.29,135.0,,,,,
,,,,,,,,,,0.0252,2.3163841807909606e-05,2.31,136.0,,,,,
,,,,,,,,,,0.022,2.2598870056497175e-05,2.32,137.0,,,,,
,,,,,,,,,,0.065,2.2033898305084748e-05,2.34,138.0,,,,,
,,,,,,,,,,0.0774,2.1468926553672317e-05,2.36,139.0,,,,,
,,,,,,,,,,0.0439,2.0903954802259886e-05,2.37,140.0,,,,,
