eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.3835285902023315,0.24040680823397373,0.24040680823397373,0.24040680823397373,0.24040680823397378,-0.15513873150819238,"[[30, 19, 27, 31], [36, 67, 63, 41], [3756, 10096, 7042, 10039], [379, 2558, 8896, 4219]]",41.5456,16.343,1.035,,,,,,,,,
,,,,,,,,,,1.3845,9.973753280839896e-05,0.01,1.0,,,,,
,,,,,,,,,,1.3727,9.94750656167979e-05,0.02,2.0,,,,,
,,,,,,,,,,1.3816,9.921259842519686e-05,0.02,3.0,,,,,
,,,,,,,,,,1.3674,9.89501312335958e-05,0.03,4.0,,,,,
,,,,,,,,,,1.3622,9.868766404199476e-05,0.04,5.0,,,,,
,,,,,,,,,,1.3689,9.842519685039371e-05,0.05,6.0,,,,,
,,,,,,,,,,1.3634,9.816272965879266e-05,0.06,7.0,,,,,
,,,,,,,,,,1.3512,9.790026246719161e-05,0.06,8.0,,,,,
,,,,,,,,,,1.3608,9.763779527559055e-05,0.07,9.0,,,,,
,,,,,,,,,,1.3339,9.737532808398951e-05,0.08,10.0,,,,,
,,,,,,,,,,1.3451,9.711286089238845e-05,0.09,11.0,,,,,
,,,,,,,,,,1.321,9.68503937007874e-05,0.09,12.0,,,,,
,,,,,,,,,,1.3206,9.658792650918635e-05,0.1,13.0,,,,,
,,,,,,,,,,1.321,9.63254593175853e-05,0.11,14.0,,,,,
,,,,,,,,,,1.3213,9.606299212598425e-05,0.12,15.0,,,,,
,,,,,,,,,,1.3069,9.58005249343832e-05,0.13,16.0,,,,,
,,,,,,,,,,1.3027,9.553805774278216e-05,0.13,17.0,,,,,
,,,,,,,,,,1.3016,9.52755905511811e-05,0.14,18.0,,,,,
,,,,,,,,,,1.2919,9.501312335958006e-05,0.15,19.0,,,,,
,,,,,,,,,,1.2817,9.4750656167979e-05,0.16,20.0,,,,,
,,,,,,,,,,1.2724,9.448818897637796e-05,0.17,21.0,,,,,
,,,,,,,,,,1.2711,9.422572178477691e-05,0.17,22.0,,,,,
,,,,,,,,,,1.2717,9.396325459317585e-05,0.18,23.0,,,,,
,,,,,,,,,,1.2563,9.370078740157481e-05,0.19,24.0,,,,,
,,,,,,,,,,1.2382,9.343832020997377e-05,0.2,25.0,,,,,
,,,,,,,,,,1.2339,9.317585301837271e-05,0.2,26.0,,,,,
,,,,,,,,,,1.2332,9.291338582677166e-05,0.21,27.0,,,,,
,,,,,,,,,,1.2202,9.265091863517061e-05,0.22,28.0,,,,,
,,,,,,,,,,1.2135,9.238845144356956e-05,0.23,29.0,,,,,
,,,,,,,,,,1.2067,9.21259842519685e-05,0.24,30.0,,,,,
,,,,,,,,,,1.1812,9.186351706036746e-05,0.24,31.0,,,,,
,,,,,,,,,,1.1858,9.16010498687664e-05,0.25,32.0,,,,,
,,,,,,,,,,1.1749,9.133858267716536e-05,0.26,33.0,,,,,
,,,,,,,,,,1.1536,9.10761154855643e-05,0.27,34.0,,,,,
,,,,,,,,,,1.1239,9.081364829396326e-05,0.28,35.0,,,,,
,,,,,,,,,,1.1152,9.05511811023622e-05,0.28,36.0,,,,,
,,,,,,,,,,1.1102,9.028871391076116e-05,0.29,37.0,,,,,
,,,,,,,,,,1.0933,9.002624671916011e-05,0.3,38.0,,,,,
,,,,,,,,,,1.0949,8.976377952755905e-05,0.31,39.0,,,,,
,,,,,,,,,,1.0596,8.950131233595801e-05,0.31,40.0,,,,,
,,,,,,,,,,1.0856,8.923884514435697e-05,0.32,41.0,,,,,
,,,,,,,,,,1.0438,8.897637795275591e-05,0.33,42.0,,,,,
,,,,,,,,,,1.0119,8.871391076115486e-05,0.34,43.0,,,,,
,,,,,,,,,,0.9931,8.84514435695538e-05,0.35,44.0,,,,,
,,,,,,,,,,0.9862,8.818897637795276e-05,0.35,45.0,,,,,
,,,,,,,,,,0.9437,8.792650918635172e-05,0.36,46.0,,,,,
,,,,,,,,,,0.932,8.766404199475066e-05,0.37,47.0,,,,,
,,,,,,,,,,0.8869,8.740157480314962e-05,0.38,48.0,,,,,
,,,,,,,,,,0.8849,8.713910761154856e-05,0.39,49.0,,,,,
,,,,,,,,,,0.8697,8.687664041994751e-05,0.39,50.0,,,,,
,,,,,,,,,,0.8231,8.661417322834646e-05,0.4,51.0,,,,,
,,,,,,,,,,0.8186,8.63517060367454e-05,0.41,52.0,,,,,
,,,,,,,,,,0.7425,8.608923884514435e-05,0.42,53.0,,,,,
,,,,,,,,,,0.7419,8.582677165354331e-05,0.43,54.0,,,,,
,,,,,,,,,,0.6964,8.556430446194225e-05,0.43,55.0,,,,,
,,,,,,,,,,0.6649,8.530183727034121e-05,0.44,56.0,,,,,
,,,,,,,,,,0.7258,8.503937007874016e-05,0.45,57.0,,,,,
,,,,,,,,,,0.5717,8.477690288713911e-05,0.46,58.0,,,,,
,,,,,,,,,,0.5586,8.451443569553806e-05,0.46,59.0,,,,,
,,,,,,,,,,0.4634,8.4251968503937e-05,0.47,60.0,,,,,
