loss,learning_rate,epoch,step,eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7597,8.896020539152761e-05,0.11,86,,,,,,,,,,,,,,
0.5647,8.883183568677792e-05,0.11,87,,,,,,,,,,,,,,
1.074,8.870346598202824e-05,0.11,88,,,,,,,,,,,,,,
0.8007,8.857509627727857e-05,0.11,89,,,,,,,,,,,,,,
0.5042,8.84467265725289e-05,0.12,90,,,,,,,,,,,,,,
0.6362,8.83183568677792e-05,0.12,91,,,,,,,,,,,,,,
0.6535,8.818998716302953e-05,0.12,92,,,,,,,,,,,,,,
0.2839,8.806161745827985e-05,0.12,93,,,,,,,,,,,,,,
0.677,8.793324775353016e-05,0.12,94,,,,,,,,,,,,,,
0.9584,8.78048780487805e-05,0.12,95,,,,,,,,,,,,,,
0.9652,8.767650834403082e-05,0.12,96,,,,,,,,,,,,,,
0.8029,8.754813863928114e-05,0.12,97,,,,,,,,,,,,,,
0.4119,8.741976893453146e-05,0.13,98,,,,,,,,,,,,,,
0.9171,8.729139922978178e-05,0.13,99,,,,,,,,,,,,,,
0.4962,8.71630295250321e-05,0.13,100,,,,,,,,,,,,,,
0.699,8.703465982028242e-05,0.13,101,,,,,,,,,,,,,,
0.7436,8.690629011553274e-05,0.13,102,,,,,,,,,,,,,,
0.5264,8.677792041078307e-05,0.13,103,,,,,,,,,,,,,,
0.4193,8.664955070603338e-05,0.13,104,,,,,,,,,,,,,,
0.5516,8.65211810012837e-05,0.13,105,,,,,,,,,,,,,,
0.2858,8.639281129653403e-05,0.14,106,,,,,,,,,,,,,,
0.4082,8.626444159178434e-05,0.14,107,,,,,,,,,,,,,,
0.4424,8.613607188703466e-05,0.14,108,,,,,,,,,,,,,,
0.4986,8.600770218228499e-05,0.14,109,,,,,,,,,,,,,,
0.6719,8.58793324775353e-05,0.14,110,,,,,,,,,,,,,,
0.5227,8.575096277278562e-05,0.14,111,,,,,,,,,,,,,,
0.4527,8.562259306803595e-05,0.14,112,,,,,,,,,,,,,,
0.2143,8.549422336328626e-05,0.15,113,,,,,,,,,,,,,,
0.7855,8.53658536585366e-05,0.15,114,,,,,,,,,,,,,,
0.3096,8.523748395378691e-05,0.15,115,,,,,,,,,,,,,,
0.4972,8.510911424903723e-05,0.15,116,,,,,,,,,,,,,,
0.5927,8.498074454428755e-05,0.15,117,,,,,,,,,,,,,,
0.4111,8.485237483953787e-05,0.15,118,,,,,,,,,,,,,,
0.4497,8.47240051347882e-05,0.15,119,,,,,,,,,,,,,,
0.3124,8.459563543003851e-05,0.15,120,,,,,,,,,,,,,,
0.501,8.446726572528884e-05,0.16,121,,,,,,,,,,,,,,
0.5136,8.433889602053916e-05,0.16,122,,,,,,,,,,,,,,
0.4662,8.421052631578948e-05,0.16,123,,,,,,,,,,,,,,
0.5429,8.40821566110398e-05,0.16,124,,,,,,,,,,,,,,
0.4128,8.395378690629012e-05,0.16,125,,,,,,,,,,,,,,
0.5429,8.382541720154045e-05,0.16,126,,,,,,,,,,,,,,
0.2069,8.369704749679076e-05,0.16,127,,,,,,,,,,,,,,
0.6585,8.356867779204108e-05,0.16,128,,,,,,,,,,,,,,
0.2583,8.344030808729141e-05,0.17,129,,,,,,,,,,,,,,
0.4549,8.331193838254172e-05,0.17,130,,,,,,,,,,,,,,
0.1529,8.318356867779205e-05,0.17,131,,,,,,,,,,,,,,
0.6694,8.305519897304237e-05,0.17,132,,,,,,,,,,,,,,
0.2938,8.292682926829268e-05,0.17,133,,,,,,,,,,,,,,
0.1351,8.279845956354301e-05,0.17,134,,,,,,,,,,,,,,
0.2654,8.267008985879333e-05,0.17,135,,,,,,,,,,,,,,
0.1338,8.254172015404364e-05,0.17,136,,,,,,,,,,,,,,
0.2446,8.241335044929397e-05,0.18,137,,,,,,,,,,,,,,
0.2728,8.228498074454429e-05,0.18,138,,,,,,,,,,,,,,
0.2744,8.215661103979461e-05,0.18,139,,,,,,,,,,,,,,
0.2473,8.202824133504493e-05,0.18,140,,,,,,,,,,,,,,
0.2511,8.189987163029525e-05,0.18,141,,,,,,,,,,,,,,
0.0903,8.177150192554557e-05,0.18,142,,,,,,,,,,,,,,
0.4584,8.16431322207959e-05,0.18,143,,,,,,,,,,,,,,
0.2805,8.151476251604621e-05,0.18,144,,,,,,,,,,,,,,
0.5662,8.138639281129655e-05,0.19,145,,,,,,,,,,,,,,
0.2094,8.125802310654685e-05,0.19,146,,,,,,,,,,,,,,
0.3955,8.112965340179717e-05,0.19,147,,,,,,,,,,,,,,
0.2077,8.100128369704751e-05,0.19,148,,,,,,,,,,,,,,
0.1143,8.087291399229782e-05,0.19,149,,,,,,,,,,,,,,
0.3123,8.074454428754814e-05,0.19,150,,,,,,,,,,,,,,
,,0.19,150,0.3123193383216858,0.9048336778928571,0.9048336778928571,0.9048336778928571,0.9048336778928571,0.20301459417155043,260.448,15.93,0.998,,,,,
0.2098,8.061617458279847e-05,0.19,151,,,,,,,,,,,,,,
0.4385,8.048780487804879e-05,0.2,152,,,,,,,,,,,,,,
0.3314,8.03594351732991e-05,0.2,153,,,,,,,,,,,,,,
0.2258,8.023106546854943e-05,0.2,154,,,,,,,,,,,,,,
0.1079,8.010269576379975e-05,0.2,155,,,,,,,,,,,,,,
0.3227,7.997432605905007e-05,0.2,156,,,,,,,,,,,,,,
0.3366,7.984595635430039e-05,0.2,157,,,,,,,,,,,,,,
0.4904,7.971758664955071e-05,0.2,158,,,,,,,,,,,,,,
0.1649,7.958921694480103e-05,0.2,159,,,,,,,,,,,,,,
0.2185,7.946084724005135e-05,0.21,160,,,,,,,,,,,,,,
0.2016,7.933247753530167e-05,0.21,161,,,,,,,,,,,,,,
0.2666,7.9204107830552e-05,0.21,162,,,,,,,,,,,,,,
0.3001,7.907573812580231e-05,0.21,163,,,,,,,,,,,,,,
0.1724,7.894736842105263e-05,0.21,164,,,,,,,,,,,,,,
0.3012,7.881899871630297e-05,0.21,165,,,,,,,,,,,,,,
0.3628,7.869062901155327e-05,0.21,166,,,,,,,,,,,,,,
0.2286,7.85622593068036e-05,0.21,167,,,,,,,,,,,,,,
0.1334,7.843388960205393e-05,0.22,168,,,,,,,,,,,,,,
0.1881,7.830551989730423e-05,0.22,169,,,,,,,,,,,,,,
0.244,7.817715019255455e-05,0.22,170,,,,,,,,,,,,,,
0.3613,7.804878048780489e-05,0.22,171,,,,,,,,,,,,,,
0.4188,7.79204107830552e-05,0.22,172,,,,,,,,,,,,,,
0.2896,7.779204107830553e-05,0.22,173,,,,,,,,,,,,,,
0.1197,7.766367137355585e-05,0.22,174,,,,,,,,,,,,,,
0.4721,7.753530166880617e-05,0.22,175,,,,,,,,,,,,,,
0.2445,7.740693196405649e-05,0.23,176,,,,,,,,,,,,,,
0.3531,7.727856225930681e-05,0.23,177,,,,,,,,,,,,,,
0.5587,7.715019255455713e-05,0.23,178,,,,,,,,,,,,,,
0.3846,7.702182284980745e-05,0.23,179,,,,,,,,,,,,,,
0.1837,7.689345314505777e-05,0.23,180,,,,,,,,,,,,,,
0.1,7.676508344030809e-05,0.23,181,,,,,,,,,,,,,,
0.2127,7.663671373555841e-05,0.23,182,,,,,,,,,,,,,,
0.3414,7.650834403080873e-05,0.23,183,,,,,,,,,,,,,,
0.1579,7.637997432605905e-05,0.24,184,,,,,,,,,,,,,,
0.2931,7.625160462130937e-05,0.24,185,,,,,,,,,,,,,,
0.3646,7.612323491655969e-05,0.24,186,,,,,,,,,,,,,,
